EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 15-03-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at https://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 countrycodes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 76 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT
14671,POLSINGEN-DOECKINGEN                        ,DE  ,+48:56:03,+010:45:29,  510
14672,POLSTERBERG                                 ,DE  ,+51:48:00,+010:25:59,  628
14673,POMMERBY                                    ,DE  ,+54:46:00,+009:57:00,   10
14674,POMSSEN                                     ,DE  ,+51:14:21,+012:36:42,  143
14675,POPPENHAUSEN KREIS FULDA                    ,DE  ,+50:28:59,+009:52:00,  455
14676,PORSCHDORF                                  ,DE  ,+50:56:26,+014:07:39,  190
14677,PORTA WESTFALICA-BARKHAUSEN                 ,DE  ,+52:15:42,+008:54:24,   49
14678,LUETZEN-POSERNA                             ,DE  ,+51:12:42,+012:04:59,  120
14679,EICHIGT-TIEFENBRUNN                         ,DE  ,+50:19:55,+012:06:24,  592
14680,POSSENDORF                                  ,DE  ,+50:58:00,+013:42:00,  296
14681,POSTAU-OBERKOELLNBACH                       ,DE  ,+48:40:32,+012:18:45,  428
14682,POSTERSTEIN                                 ,DE  ,+50:51:45,+012:15:00,  245
14683,POTSDAM (NORD)                              ,DE  ,+52:25:00,+013:04:00,   52
14684,POTTENSTEIN                                 ,DE  ,+49:46:21,+011:24:29,  365
14685,POTZLOW                                     ,DE  ,+53:12:11,+013:48:24,   60
14686,PRACKENBACH-MOOSBACH                        ,DE  ,+49:06:50,+012:46:54,  505
14687,PRATAU                                      ,DE  ,+51:50:44,+012:37:30,   70
14688,PREETZ                                      ,DE  ,+54:13:59,+010:16:00,   37
14689,PRENZLAU (EWALDSHOF)                        ,DE  ,+53:17:04,+013:55:32,   50
14690,PREROW OSTSEEBAD                            ,DE  ,+54:26:53,+012:33:24,    1
14691,PRESSATH                                    ,DE  ,+49:46:18,+011:56:12,  450
14692,PRESSATH-MUEHLBERG                          ,DE  ,+49:47:03,+012:01:58,  595
14693,PRESSECK                                    ,DE  ,+50:13:39,+011:32:53,  640
14694,PRESSECK-WARTENFELS                         ,DE  ,+50:12:33,+011:29:38,  450
14695,PRESSIG-ROTHENKIRCHEN                       ,DE  ,+50:21:41,+011:19:03,  400
14696,PREUSSISCH-OLDENDORF                        ,DE  ,+52:19:13,+008:28:36,   52
14697,PRICHSENSTADT                               ,DE  ,+49:49:00,+010:20:36,  261
14698,PRIEROS                                     ,DE  ,+52:13:08,+013:46:28,   38
14699,PRIESSNITZ                                  ,DE  ,+51:05:40,+011:46:44,  250
14700,PRIMSTAL                                    ,DE  ,+49:33:00,+006:58:59,  335
14701,WROHM                                       ,DE  ,+54:12:46,+009:25:04,    6
14702,PRIORT                                      ,DE  ,+52:31:23,+012:58:31,   35
14703,PRITTITZ-PLOTHA                             ,DE  ,+51:09:02,+011:55:14,  165
14704,PRITZERBE                                   ,DE  ,+52:31:59,+012:28:59,   29
14705,PRITZWALK                                   ,DE  ,+53:10:22,+012:09:24,   83
14706,PROBSTZELLA                                 ,DE  ,+50:31:54,+011:22:59,  360
14707,PROFEN                                      ,DE  ,+51:07:37,+012:12:29,  145
14708,PROSSELSHEIM-SELIGENSTADT                   ,DE  ,+49:51:09,+010:06:02,  284
14709,PRUEM-WATZERATH                             ,DE  ,+50:10:50,+006:21:02,  386
14710,PUETTLINGEN-RITTERSTRASSE                   ,DE  ,+49:16:45,+006:54:47,  323
14711,PULHEIM                                     ,DE  ,+50:59:30,+006:47:29,   61
14712,PULLACH-HOELLRIEGELSKREUTH                  ,DE  ,+48:01:57,+011:30:19,  544
14713,PULLENREUTH-DREIHAEUSER                     ,DE  ,+49:56:44,+012:00:38,  585
14714,PULSNITZ                                    ,DE  ,+51:12:02,+014:01:14,  270
14715,PUTLITZ                                     ,DE  ,+53:14:42,+012:02:36,   57
14716,PYRBAUM                                     ,DE  ,+49:17:57,+011:17:21,  430
14717,PYRMONT BAD                                 ,DE  ,+51:58:59,+009:14:33,  104
14718,QUALITZ                                     ,DE  ,+53:49:39,+011:49:27,   70
14719,QUASCHWITZ                                  ,DE  ,+50:40:59,+011:43:59,  493
14720,QUEDLINBURG (A)                             ,DE  ,+51:46:59,+011:07:59,  125
14721,QUELLENDORF                                 ,DE  ,+51:44:48,+012:07:46,   81
14722,QUERENHORST                                 ,DE  ,+52:20:08,+010:57:19,  105
14723,QUESTENBERG-AGNESDORF                       ,DE  ,+51:29:54,+011:05:34,  290
14724,QUIERSCHIED                                 ,DE  ,+49:18:47,+007:02:42,  241
14725,QUIRLA                                      ,DE  ,+50:51:52,+011:46:03,  275
14726,KLEPZIG                                     ,DE  ,+52:01:08,+012:32:08,  146
14727,RABENAU                                     ,DE  ,+50:57:47,+013:38:35,  317
14728,RABENAU-GEILSHAUSEN                         ,DE  ,+50:38:44,+008:53:16,  300
14729,SCHLOEBEN-ZOETTNITZ                         ,DE  ,+50:54:00,+011:40:59,  262
14730,RADBRUCH                                    ,DE  ,+53:18:11,+010:16:19,   11
14731,RADEBERG                                    ,DE  ,+51:04:30,+013:55:36,  275
14732,RADEBURG                                    ,DE  ,+51:12:34,+013:43:27,  153
14733,RADEBURG (SPEICHER)                         ,DE  ,+51:12:48,+013:44:09,  146
14734,RADEGAST                                    ,DE  ,+51:40:00,+012:06:00,   81
14735,RADEVORMWALD                                ,DE  ,+51:12:56,+007:23:17,  397
14736,KEMBERG-RADIS                               ,DE  ,+51:45:20,+012:30:37,   94
14737,RAESFELD-ERLE                               ,DE  ,+51:44:53,+006:51:46,   66
14738,RAETZLINGEN                                 ,DE  ,+52:24:01,+011:06:41,   76
14739,RAGOESEN                                    ,DE  ,+52:14:24,+012:34:45,   50
14740,RAGOW KREIS DAHME-SPREEWALD                 ,DE  ,+52:17:12,+013:32:51,   38
14741,RAGOW KREIS OBERSPREEWALD                   ,DE  ,+51:53:02,+013:53:54,   60
14742,RAGUHN                                      ,DE  ,+51:42:32,+012:16:00,   86
14743,RAHDEN-PREUSSISCH STROEHEN                  ,DE  ,+52:30:00,+008:37:59,   40
14744,RAIN AM LECH                                ,DE  ,+48:41:30,+010:53:51,  409
14745,RAIN AM LECH-WALLERDORF                     ,DE  ,+48:37:09,+011:00:20,  462
14746,RAMMENAU                                    ,DE  ,+51:09:11,+014:08:57,  301
14747,RAMSAU BEI BERCHTESGADEN                    ,DE  ,+47:36:23,+012:53:40,  660
14748,RAMSEN/PFALZ                                ,DE  ,+49:31:59,+008:00:47,  255
14749,RANKENDORF                                  ,DE  ,+53:56:13,+011:03:46,   40
14750,RANSTADT-OBER-MOCKSTADT                     ,DE  ,+50:20:56,+008:57:47,  128
14751,RANTUM/SYLT                                 ,DE  ,+54:52:00,+008:18:00,    2
14752,RAPPENAU BAD-BONFELD                        ,DE  ,+49:12:47,+009:05:25,  198
14753,RASDORF                                     ,DE  ,+50:42:55,+009:53:57,  335
14754,RASSNITZ                                    ,DE  ,+51:23:31,+012:05:24,   93
14755,RASTEDE                                     ,DE  ,+53:14:33,+008:13:24,   16
14756,RATHEBUR                                    ,DE  ,+53:44:26,+013:47:26,   10
14757,RATHENOW                                    ,DE  ,+52:36:33,+012:21:46,   30
14758,RATINGEN                                    ,DE  ,+51:18:00,+006:51:00,   48
14759,SCHLEUSINGEN-RATSCHER (TALSPERRE)           ,DE  ,+50:29:35,+010:47:04,  387
14760,RATZDORF                                    ,DE  ,+52:04:09,+014:45:02,   35
14761,RATZEBURG                                   ,DE  ,+53:41:47,+010:45:18,   10
14762,RAUBLING-PFRAUNDORF                         ,DE  ,+47:48:38,+012:07:31,  449
14763,RAUHENEBRACH-SCHINDELSEE                    ,DE  ,+49:53:30,+010:39:09,  365
14764,RAUHOED BEI SCHONSTETT                      ,DE  ,+48:00:00,+012:16:00,  493
14765,BRAMBACH BAD RAUN-GUERTH                    ,DE  ,+50:14:47,+012:15:51,  600
14766,RAUNHEIM                                    ,DE  ,+50:00:20,+008:25:44,   89
14767,RAUSCHENBERG/HESSEN                         ,DE  ,+50:52:59,+008:53:58,  260
14768,RAUTENDORF                                  ,DE  ,+53:09:00,+009:03:00,    8
14769,RAVENSTEIN-HUENGHEIM                        ,DE  ,+49:24:38,+009:30:51,  305
14770,RECHTENBACH                                 ,DE  ,+49:59:07,+009:30:11,  360
14771,BAUNACH                                     ,DE  ,+49:59:03,+010:50:17,  280
14772,REDEFIN                                     ,DE  ,+53:20:48,+011:11:57,   16
14773,REGEN                                       ,DE  ,+48:57:57,+013:08:33,  583
14774,REGENSBURG-OBERTRAUBLING                    ,DE  ,+48:58:00,+012:10:00,  338
14775,REGENSTAUF                                  ,DE  ,+49:08:18,+012:06:57,  345
14776,REGNITZLOSAU                                ,DE  ,+50:17:53,+012:02:53,  531
14777,REHAGEN                                     ,DE  ,+52:09:56,+013:22:54,   46
14778,REHAU                                       ,DE  ,+50:13:17,+012:01:39,  587
14779,REHBERG                                     ,DE  ,+53:26:38,+013:27:46,  105
14780,REHBERGER GRABENHAUS                        ,DE  ,+51:43:44,+010:32:20,  683
14781,REHBURG-LOCCUM                              ,DE  ,+52:26:21,+009:07:59,   60
14782,REHFELDE                                    ,DE  ,+52:31:53,+013:54:39,   61
14783,REHLINGEN                                   ,DE  ,+48:55:00,+010:52:59,  457
14784,REHLINGEN-NIEDALTDORF                       ,DE  ,+49:20:26,+006:35:24,  192
14785,REHNA                                       ,DE  ,+53:47:06,+011:02:42,   25
14786,REICHELSHEIM-BEERFURTH                      ,DE  ,+49:43:21,+008:51:56,  187
14787,REICHELSHEIM-DORN-ASSENHEIM                 ,DE  ,+50:19:59,+008:51:00,  134
14788,REICHELSHEIM-OBER-OSTERN                    ,DE  ,+49:40:00,+008:51:00,  315
14789,REICHELSHEIM/ODENWALD                       ,DE  ,+49:42:29,+008:51:20,  209
14790,REICHENAU                                   ,DE  ,+49:40:59,+012:31:00,  535
14791,REICHENBACH                                 ,DE  ,+50:37:59,+012:18:00,  400
14792,REICHERTSHEIM                               ,DE  ,+48:11:53,+012:17:00,  525
14793,LENGEFELD-REIFLAND (SAIDENBACH TS)          ,DE  ,+50:44:02,+013:13:09,  450
14794,REILINGEN                                   ,DE  ,+49:17:38,+008:34:00,  103
14795,REINBEK                                     ,DE  ,+53:31:00,+010:13:59,   35
14796,REINERSDORF                                 ,DE  ,+51:15:29,+013:37:00,  140
14797,REINHARDSHAGEN-VAAKE                        ,DE  ,+51:29:02,+009:36:42,  115
14798,REINHARDTSDORF                              ,DE  ,+50:53:44,+014:11:06,  232
14799,REINHEIM                                    ,DE  ,+49:49:27,+008:49:24,  165
14800,REINHOLTERODE                               ,DE  ,+51:25:28,+010:11:22,  336
14801,REINSBERG                                   ,DE  ,+51:00:34,+013:21:28,  265
14802,REINSDORF KREIS NEBRA                       ,DE  ,+51:17:26,+011:36:18,  118
14803,REINSDORF KREIS TELTOW-FLAEMING             ,DE  ,+51:54:06,+013:13:05,  106
14804,REINSFELD                                   ,DE  ,+49:40:21,+006:52:45,  484
14805,REINSTEDT                                   ,DE  ,+51:45:15,+011:21:11,  141
14806,REINSTORF-HOLZEN                            ,DE  ,+53:14:24,+010:35:08,   50
14807,REISACH                                     ,DE  ,+47:49:00,+011:49:00,  634
14808,REISBACH-HABERSKIRCHEN                      ,DE  ,+48:30:33,+012:39:01,  430
14809,REISBACH-OBERHAUSEN                         ,DE  ,+48:35:12,+012:39:47,  400
14810,REISCHACH                                   ,DE  ,+48:17:25,+012:43:23,  435
14811,REITH                                       ,DE  ,+53:25:54,+009:21:23,   25
14812,REITWEIN                                    ,DE  ,+52:29:20,+014:36:57,   15
14813,REKEN-GROSS REKEN                           ,DE  ,+51:48:42,+007:05:26,   59
14814,REMDA                                       ,DE  ,+50:45:38,+011:13:36,  317
14815,REMSCHEID (ESCHBACHTAL)                     ,DE  ,+51:10:00,+007:13:00,  208
14816,REMSECK/NECKAR-ALDINGEN                     ,DE  ,+48:51:29,+009:14:53,  216
14817,RENGSDORF                                   ,DE  ,+50:30:00,+007:30:00,  285
14818,TAGMERSHEIM-BLOSSENAU                       ,DE  ,+48:48:37,+010:56:08,  522
14819,RENTHENDORF                                 ,DE  ,+50:47:39,+011:51:03,  285
14820,RERIK OSTSEEBAD                             ,DE  ,+54:06:21,+011:37:14,   18
14821,RETGENDORF                                  ,DE  ,+53:43:44,+011:30:06,   45
14822,RETTENBACH-AUMBACH                          ,DE  ,+49:02:53,+012:25:33,  565
14823,RETTENBERG-KRANZEGG                         ,DE  ,+47:35:08,+010:19:22,  856
14824,RHAUNEN                                     ,DE  ,+49:51:47,+007:20:16,  370
14825,RHEDA-WIEDENBRUECK                          ,DE  ,+51:52:00,+008:18:00,   70
14826,RHEINBACH                                   ,DE  ,+50:37:27,+006:56:42,  180
14827,RHEINBERG                                   ,DE  ,+51:33:11,+006:35:27,   25
14828,RHEINBOELLEN                                ,DE  ,+50:00:20,+007:40:26,  395
14829,RHEINE                                      ,DE  ,+52:16:27,+007:27:24,   37
14830,RHEINSBERG/MARK                             ,DE  ,+53:06:38,+012:53:42,   58
14831,RHINOW                                      ,DE  ,+52:44:51,+012:19:54,   24
14832,RHODT                                       ,DE  ,+49:16:23,+008:05:49,  235
14833,RHOENHAUS                                   ,DE  ,+50:25:59,+009:58:59,  736
14834,RHOENHOF                                    ,DE  ,+50:31:00,+010:04:00,  785
14835,RIBBESBUETTEL                               ,DE  ,+52:26:03,+010:30:32,   54
14836,RIBNITZ-DAMGARTEN                           ,DE  ,+54:14:15,+012:25:58,   10
14837,RIEDENBURG                                  ,DE  ,+48:57:20,+011:43:40,  363
14838,RIEDENHEIM-STALLDORF                        ,DE  ,+49:33:51,+009:56:16,  319
14839,QUEDLINBURG-RIEDER                          ,DE  ,+51:44:04,+011:09:55,  194
14840,RIEDERING                                   ,DE  ,+47:50:31,+012:12:07,  484
14841,RIEDOESCHINGEN                              ,DE  ,+47:51:00,+008:37:00,  715
14842,RIEDSTADT-ERFELDEN                          ,DE  ,+49:49:59,+008:28:00,   88
14843,RIEGELSBERG                                 ,DE  ,+49:18:59,+006:56:26,  275
14844,RIEKOFEN                                    ,DE  ,+48:54:55,+012:20:21,  332
14845,RIELASINGEN                                 ,DE  ,+47:43:59,+008:49:59,  416
14846,RIENECK                                     ,DE  ,+50:05:39,+009:38:11,  198
14847,RIESA (WEST)                                ,DE  ,+51:18:00,+013:15:02,  139
14848,RIETBERG                                    ,DE  ,+51:49:32,+008:26:07,   80
14849,RIETSCHEN                                   ,DE  ,+51:23:27,+014:46:54,  145
14850,RIETZ BEI BRANDENBURG                       ,DE  ,+52:22:22,+012:38:11,   33
14851,RIFFELRISS                                  ,DE  ,+47:26:03,+010:59:11, 1620
14852,RIMBACH                                     ,DE  ,+49:37:00,+008:45:00,  185
14853,RIMBACH/OBERPFALZ -HOHENBOGEN               ,DE  ,+49:14:30,+012:54:24,  903
14854,RIMPAR                                      ,DE  ,+49:51:00,+009:58:00,  230
14855,RIMPAR-GRAMSCHATZ                           ,DE  ,+49:55:36,+009:58:18,  320
14856,RINGFURTH                                   ,DE  ,+52:22:59,+011:54:00,   46
14857,RINGGAU-RENDA                               ,DE  ,+51:04:08,+010:04:28,  395
14858,RINGHUSCHEID                                ,DE  ,+50:04:00,+006:19:59,  460
14859,RINGLEBEN                                   ,DE  ,+51:06:21,+010:57:33,  154
14860,RINTELN-STEINBERGEN                         ,DE  ,+52:12:00,+009:07:00,   84
14861,RIPPOLDSAU BAD                              ,DE  ,+48:25:27,+008:19:49,  493
14862,RITSCHENHAUSEN                              ,DE  ,+50:30:29,+010:26:11,  306
14863,RITTERODE                                   ,DE  ,+51:38:17,+011:27:42,  245
14864,RITTERSGRUEN                                ,DE  ,+50:27:25,+012:49:03,  673
14865,GERA-ROBEN-STEINBRUECKEN                    ,DE  ,+50:56:33,+012:02:34,  305
14866,ROCHAU-SCHARTAU                             ,DE  ,+52:41:53,+011:41:56,   35
14867,ROCHLITZ                                    ,DE  ,+51:02:30,+012:48:42,  185
14868,RODACH (KLAERANLAGE)                        ,DE  ,+50:19:51,+010:47:31,  300
14869,RODDER                                      ,DE  ,+50:23:47,+006:51:24,  512
14870,RODENBACH-NIEDERRODENBACH                   ,DE  ,+50:08:25,+009:01:39,  128
14871,LAUENAU-FEGGENDORF                          ,DE  ,+52:16:54,+009:23:39,  140
14872,RODING                                      ,DE  ,+49:12:20,+012:30:33,  363
14873,RODING-NEUBAEU                              ,DE  ,+49:14:27,+012:24:43,  388
14874,ROEBEL/MUERITZ                              ,DE  ,+53:22:13,+012:37:01,   73
14875,ROECKNITZ                                   ,DE  ,+51:27:02,+012:46:41,  118
14876,ROEDENTAL-THIERACH                          ,DE  ,+50:16:53,+011:04:22,  402
14877,ROEDERHOF                                   ,DE  ,+51:57:51,+011:00:05,  205
14878,ROEDERMARK-OBER-RODEN                       ,DE  ,+49:58:59,+008:50:21,  137
14879,ROEDINGHAUSEN                               ,DE  ,+52:15:00,+008:28:59,  142
14880,ROEGNITZ                                    ,DE  ,+53:36:34,+011:01:24,   50
14881,ROEHRMOOS                                   ,DE  ,+48:19:59,+011:25:59,  492
14882,ROEHRMOOS-GROSSINZEMOOS                     ,DE  ,+48:20:13,+011:25:22,  495
14883,ROEHRNBACH                                  ,DE  ,+48:45:11,+013:29:53,  480
14884,ROEMHILD                                    ,DE  ,+50:23:44,+010:31:55,  300
14885,ROEMSTEDT                                   ,DE  ,+53:05:45,+010:38:58,   50
14886,ROESRATH-FORSBACH                           ,DE  ,+50:55:40,+007:10:14,  162
14887,ROETGEN (DREILAEGERBACHTALSPERRE)           ,DE  ,+50:39:29,+006:12:29,  393
14888,ROETHA (TALSPERRE)                          ,DE  ,+51:11:35,+012:24:48,  131
14889,ROETHENBACH/PEGNITZ                         ,DE  ,+49:28:32,+011:13:23,  330
14890,ROETZ-STEEGEN                               ,DE  ,+49:20:25,+012:34:22,  450
14891,ROGGENDORF                                  ,DE  ,+53:41:33,+011:00:29,   62
14892,ROGGENHAGEN                                 ,DE  ,+53:39:38,+013:24:42,   50
14893,ROHR                                        ,DE  ,+50:34:59,+010:30:00,  330
14894,ROHR/MITTELFRANKEN-DECHENDORF               ,DE  ,+49:18:29,+010:55:05,  402
14895,ROHRBACH                                    ,DE  ,+51:04:05,+011:23:48,  250
14896,OBERSTDORF-ROHRMOOS                         ,DE  ,+47:24:24,+010:10:03, 1067
14897,RONNEBURG                                   ,DE  ,+50:51:03,+012:11:15,  285
14898,RONNEBURG-HUETTENGESAESS                    ,DE  ,+50:12:33,+009:02:16,  145
14899,RONSHAUSEN                                  ,DE  ,+50:56:44,+009:52:36,  240
14900,RORINGEN                                    ,DE  ,+51:33:00,+010:01:00,  319
14901,ROSBACH VOR DER HOEHE -RODHEIM              ,DE  ,+50:16:15,+008:42:24,  157
14902,ROSDORF-MENGERSHAUSEN                       ,DE  ,+51:29:30,+009:51:56,  187
14903,ROSE (GRABENAUS)                            ,DE  ,+51:46:59,+010:27:00,  590
14904,ROSENFELD-BICKELSBERG                       ,DE  ,+48:17:27,+008:41:40,  676
14905,ROSENGARTEN KREIS HARBURG                   ,DE  ,+53:24:00,+009:51:00,  125
14906,ROSENOW                                     ,DE  ,+53:37:32,+013:02:06,   73
14907,ROSSBACH-LUNSTAEDT                          ,DE  ,+51:15:36,+011:53:48,  120
14908,ROSSDORF                                    ,DE  ,+50:42:14,+010:12:34,  395
14909,ROSSEL                                      ,DE  ,+50:49:00,+007:31:59,  120
14910,DESSAU-ROSSLAU-RODLEBEN                     ,DE  ,+51:53:53,+012:11:48,   76
14911,ROSSTAL                                     ,DE  ,+49:23:25,+010:53:11,  398
14912,ROSSWEIN                                    ,DE  ,+51:03:33,+013:10:53,  201
14913,ROSTOCK                                     ,DE  ,+54:04:57,+012:07:22,   20
14914,ROT AN DER ROT-SPINDELWAG                   ,DE  ,+48:00:00,+010:00:00,  619
14915,ROTE KREUZ                                  ,DE  ,+50:33:42,+007:21:02,  353
14916,ROTENBURG/FULDA -SEIFERTSHAUSEN             ,DE  ,+51:03:00,+009:46:00,  266
14917,ROTENBURG-BRAACH                            ,DE  ,+51:00:11,+009:41:54,  190
14918,ROTHEMUEHL                                  ,DE  ,+53:35:43,+013:48:42,   23
14919,ROTHENBERG-FINKENBACH                       ,DE  ,+49:32:02,+008:54:55,  224
14920,ROTHENBUCH                                  ,DE  ,+49:58:05,+009:24:00,  360
14921,ROTHENBUCH-ERLENFURT                        ,DE  ,+49:56:42,+009:28:41,  248
14922,ROTHENBURG                                  ,DE  ,+51:38:38,+011:45:02,   85
14923,ROTHENKLEMPENOW                             ,DE  ,+53:31:00,+014:12:15,   14
14924,ROTHESUETTE                                 ,DE  ,+51:37:59,+010:43:59,  560
14925,ROTTENBURG-NIEDERNAU BAD                    ,DE  ,+48:27:25,+008:53:51,  349
14926,ROTTENBURG/NIEDERBAYERN -OBERRONING         ,DE  ,+48:44:24,+012:05:12,  435
14927,ROTTENBURG/NIEDERBAYERN -PATTENDORF         ,DE  ,+48:43:26,+012:00:51,  418
14928,ROTTHALMUENSTER                             ,DE  ,+48:21:42,+013:11:38,  387
14929,ROTTLEBERODE                                ,DE  ,+51:30:55,+010:56:48,  203
14930,RUDERSBERG                                  ,DE  ,+48:53:20,+009:31:27,  284
14931,RUDERTING                                   ,DE  ,+48:39:11,+013:25:23,  395
14932,RUDOLSTADT                                  ,DE  ,+50:43:32,+011:22:08,  193
14933,OBERHARZ AM BROCKEN-RUEBELAND               ,DE  ,+51:45:27,+010:51:00,  388
14934,RUEDESHEIM                                  ,DE  ,+49:59:12,+007:56:07,  126
14935,RUEDESHEIM-KAMMERFORST                      ,DE  ,+50:01:00,+007:52:59,  460
14936,RUEDESHEIM-PRESBERG                         ,DE  ,+50:03:06,+007:53:15,  403
14937,RUEDNITZ                                    ,DE  ,+52:43:32,+013:38:21,   65
14938,RUELZHEIM                                   ,DE  ,+49:09:38,+008:18:02,  105
14939,KETZERBACHTAL-KLESSIG                       ,DE  ,+51:06:33,+013:16:32,  213
14940,HAREN-RUETENBROCK                           ,DE  ,+52:51:38,+007:06:09,   12
14941,RUETHEN                                     ,DE  ,+51:29:47,+008:26:03,  370
14942,RUETING-DIEDRICHSHAGEN                      ,DE  ,+53:48:16,+011:12:24,   30
14943,BAIERSBRONN-RUHESTEIN                       ,DE  ,+48:33:41,+008:13:22,  916
14944,RUHLA                                       ,DE  ,+50:53:24,+010:21:55,  470
14945,RUHLAND                                     ,DE  ,+51:27:15,+013:51:46,   98
14946,RUHPOLDING-SEEHAUS                          ,DE  ,+47:42:38,+012:37:15,  746
14947,RUNKEL-ESCHENAU                             ,DE  ,+50:25:59,+008:10:00,  153
14948,RUPPERSDORF                                 ,DE  ,+50:30:33,+011:34:32,  550
14949,RUPPICHTEROTH-BROELECK                      ,DE  ,+50:50:21,+007:24:34,  142
14950,RUPPICHTEROTH-DOERGEN                       ,DE  ,+50:51:30,+007:30:16,  236
14951,RUPPICHTEROTH-SCHEID                        ,DE  ,+50:50:39,+007:26:52,  205
14952,RUST                                        ,DE  ,+48:15:27,+007:44:38,  167
14953,RUTENBERG                                   ,DE  ,+53:14:47,+013:18:18,   77
14954,SAARA-GROSSSAARA                            ,DE  ,+50:51:29,+011:58:44,  258
14955,SAARBRUECKEN (SCHLEUSE)                     ,DE  ,+49:14:11,+006:58:48,  188
14956,SAARBRUECKEN-SCHAFBRUECKE                   ,DE  ,+49:13:59,+007:04:00,  210
14957,SAARBURG                                    ,DE  ,+49:36:29,+006:32:47,  180
14958,SAARGRUND                                   ,DE  ,+50:27:29,+010:59:39,  555
14959,SAARLOUIS (A)                               ,DE  ,+49:19:00,+006:45:00,  177
14960,SAAROW-PIESKOW BAD                          ,DE  ,+52:17:12,+014:03:42,   45
14961,BARBY-SACHSENDORF-PATZETZ                   ,DE  ,+51:52:36,+011:52:46,   54
14962,SAECKINGEN BAD (BERGSEESTR.)                ,DE  ,+47:33:29,+007:59:20,  295
14963,SAGARD                                      ,DE  ,+54:30:56,+013:31:51,    5
14964,SALDENBURG-STADL                            ,DE  ,+48:45:39,+013:22:50,  572
14965,SALGEN                                      ,DE  ,+48:07:39,+010:28:41,  558
14966,SALLGAST                                    ,DE  ,+51:35:26,+013:51:03,  140
14967,SALLNECK                                    ,DE  ,+47:43:18,+007:46:26,  610
14968,SALZDETFURTH BAD                            ,DE  ,+52:03:33,+010:00:41,  125
14969,SALZFURTKAPELLE                             ,DE  ,+51:41:38,+012:10:10,   81
14970,SALZGITTER-HOHENRODE (A)                    ,DE  ,+52:01:59,+010:21:00,  141
14971,SALZGITTER-LICHTENBERG                      ,DE  ,+52:07:30,+010:17:30,  153
14972,SALZGITTER-OHLENDORF                        ,DE  ,+52:03:42,+010:26:24,  110
14973,SALZHAUSEN KREIS HARBURG                    ,DE  ,+53:13:21,+010:10:30,   41
14974,SALZHEMMENDORF                              ,DE  ,+52:04:00,+009:36:00,  133
14975,SALZKOTTEN                                  ,DE  ,+51:42:34,+008:34:45,   93
14976,SALZMUENDE                                  ,DE  ,+51:31:59,+011:49:59,   80
14977,SALZSCHLIRF BAD                             ,DE  ,+50:37:00,+009:30:00,  252
14978,SALZUNGEN BAD                               ,DE  ,+50:48:21,+010:13:45,  268
14979,SAMERBERG-GEISENKAM                         ,DE  ,+47:46:37,+012:12:36,  687
14980,SAMSWEGEN                                   ,DE  ,+52:15:41,+011:33:39,   49
14981,SAMTENS                                     ,DE  ,+54:21:20,+013:17:26,   10
14982,SANDERBUSCH                                 ,DE  ,+53:30:30,+008:01:06,    2
14983,SANDERSLEBEN                                ,DE  ,+51:40:44,+011:34:21,  158
14984,SANDSTEDT                                   ,DE  ,+53:21:21,+008:31:09,    1
14985,SANGERHAUSEN                                ,DE  ,+51:28:39,+011:18:43,  179
14986,SANKT ANDREASBERG                           ,DE  ,+51:43:00,+010:30:00,  680
14987,SANKT ANDREASBERG-ODERBRUECK                ,DE  ,+51:46:59,+010:33:00,  785
14988,SANKT ANDREASBERG-ODERHAUS                  ,DE  ,+51:41:33,+010:34:01,  428
14989,SANKT AUGUSTIN-HANGELAR                     ,DE  ,+50:45:41,+007:10:14,   66
14990,SANKT ENGLMAR                               ,DE  ,+49:00:10,+012:49:24,  810
14991,SANKT GEORGEN/SCHWARZWALD                   ,DE  ,+48:07:24,+008:19:04,  835
14992,SANKT JOHANN-GAECHINGEN                     ,DE  ,+48:25:54,+009:22:41,  683
14993,SANKT OSWALD-RIEDLHUETTE                    ,DE  ,+48:53:08,+013:25:32,  754
14994,SANKT PETER/SCHWARZWALD                     ,DE  ,+48:00:56,+008:02:21,  729
14995,SANKT WENDEL                                ,DE  ,+49:27:51,+007:10:30,  292
14996,SARSTEDT                                    ,DE  ,+52:14:51,+009:50:42,   61
14997,SASSENBURG-PLATENDORF                       ,DE  ,+52:33:51,+010:37:36,   58
14998,SASSENDORF BAD-BEUSINGSEN                   ,DE  ,+51:32:38,+008:10:50,  171
14999,SASSNITZ                                    ,DE  ,+54:31:09,+013:37:03,   90
15000,SATERLAND-RAMSLOH                           ,DE  ,+53:06:14,+007:39:01,    4
